grams,width_cm,frequency,location,price,flexibility,moisture,horizontal_position,shape,distance,target
490,137,594,Belgium,1607,65.27,34.27,-33.31,other,53.94,widget3
528,229,364,Belgium,805,40.99,57.65,-38.68,oblong,28.2,widget7
486,70,399,,682,52.59,35.32,-21.66,spherical,45.66,widget1
542,112,437,Italy,808,47.25,79.57,105.93,oblong,49.13,widget1
522,202,411,India,1066,92.5,39.55,89.33,oblong,32.72,widget2
533,89,654,Italy,685,91.53,59.72,41.28,cuboid,50.59,widget6
540,88,405,Belgium,1055,45.55,37.34,58.58,oblong,50.65,widget1
408,110,480,Germany,790,76.69,57.44,48.86,oblong,50.44,widget6
449,179,495,Japan,654,35.2,48.1,34.34,cuboid,20.33,widget8
610,113,529,Italy,518,40.74,33.97,59.26,oblong,32.92,widget4
535,97,424,Japan,947,58.23,65.2,1.36,oblong,49.39,widget1
340,156,345,Japan,515,91.85,70.01,167.48,spherical,33.03,widget2
561,104,422,Germany,606,49.22,80.1,68.6,spherical,46.51,widget1
525,125,616,Germany,462,89.22,58.82,4.82,cuboid,41.68,widget6
482,135,624,Germany,683,69.08,71.77,62.68,cylinder,48.43,widget6
505,121,454,Belgium,813,39.35,69.44,71.76,cuboid,46.94,widget1
507,190,584,South Korea,728,41.19,34.38,29.39,oblong,37.27,widget4
561,154,625,Japan,1127,36.32,54.55,40.09,oblong,38.19,widget4
468,140,431,Italy,753,49.53,78.5,98.84,oblong,46.41,widget1
491,163,515,Belgium,764,14.08,43.39,53.5,other,15.49,widget8
542,177,639,Japan,661,43.06,37.35,100.38,oblong,40.39,widget4
433,127,570,Belgium,534,74.51,61.22,30.28,cylinder,54.26,widget6
491,165,337,Italy,676,10.9,59.37,96.85,cuboid,22.14,widget8
411,111,637,Italy,254,73.86,64.68,3.86,cylinder,60.48,widget6
630,125,658,,818,40.53,85.76,74.29,cuboid,30.98,widget4
433,193,425,Japan,635,34.33,66.27,13.69,cuboid,19.06,widget7
393,98,726,Italy,1547,62.52,67.34,-121.42,cylinder,48.46,widget3
334,204,323,South Korea,567,57.79,40.99,-14.44,oblong,27.66,widget2
528,117,422,Italy,991,64.32,40.1,46.23,oblong,40.3,widget1
487,208,421,Italy,921,34.5,52.92,25.78,cuboid,29.2,widget7
483,119,569,Belgium,1035,68.5,65.28,94.12,cylinder,56.76,widget6
679,153,518,Japan,689,44.51,49.47,-3.21,oblong,27.22,widget4
511,144,631,France,1118,66.94,56.86,-20.26,other,43.69,widget3
537,164,416,China,628,11.66,42.95,101.46,other,32.36,widget8
519,67,595,,1044,71.84,51.12,145.39,cuboid,53.31,widget6
445,185,479,France,925,60.06,79.86,-68.66,cylinder,57.4,widget3
357,173,354,Japan,1171,62.79,35.46,-8.4,spherical,33.54,widget2
487,163,682,,939,60.6,45.03,-30.28,other,41.92,widget3
481,108,795,,1738,61.05,62.2,-1.65,other,51.83,widget3
603,97,555,Italy,674,66.43,54.05,48.45,oblong,40.85,widget1
475,134,711,Germany,1307,44.51,49.66,-68.46,other,42.53,widget3
259,162,431,China,892,51.33,75.51,-112.8,cylinder,28.76,widget5
383,138,485,France,766,13.71,19.14,115.8,other,29.84,widget8
596,114,422,Belgium,854,45.07,45.54,39.16,oblong,46.49,widget1
360,141,504,China,1091,46.73,53.55,-46.06,cylinder,28.39,widget5
518,234,370,Italy,987,46.07,59.41,-75.97,oblong,33.78,widget7
422,185,394,Italy,281,34.51,51.31,-130.65,oblong,25.58,widget7
410,128,721,France,1021,74.26,46.47,-4.34,other,45.97,widget3
592,78,445,Germany,498,71.99,75.37,53.83,oblong,43.83,widget1
455,168,632,Germany,1560,69.53,70.07,-48.71,other,40.86,widget3
453,140,327,China,920,73.8,55.94,31.48,oblong,23.62,widget2
541,130,509,Italy,694,47.86,49.01,-60.72,oblong,36.95,widget1
401,125,675,France,1751,71.53,60.36,43.94,cylinder,60.53,widget3
591,116,589,France,1132,58.54,50.36,106.02,oblong,42.32,widget1
507,100,547,Belgium,895,49.06,53.93,31.11,oblong,35.3,widget1
465,184,352,Belgium,705,25.08,70.48,-97.9,oblong,29.74,widget7
603,124,560,Italy,1947,46.54,48.59,-11.4,cylinder,56.49,widget3
381,121,470,Germany,1024,33.78,19.59,-2.89,cylinder,14.35,widget8
521,116,610,Germany,1186,63.3,63.51,-26.94,cuboid,47.94,widget3
457,140,527,Germany,1032,36.93,57.2,8.67,cylinder,27.23,widget8
494,231,344,,442,39.32,73.81,-54.48,spherical,15.09,widget7
561,163,338,Japan,608,53.13,56.47,23.47,oblong,43.4,widget1
395,199,413,China,954,78.05,32.01,88.09,oblong,36.91,widget2
268,208,514,Italy,1164,67.91,59.56,-83.75,cuboid,25.57,widget5
587,91,725,Italy,750,77.23,65.47,97.67,cuboid,42.17,widget6
217,137,392,Germany,1231,43.54,63.71,-73.76,cylinder,26.37,widget5
465,156,460,Japan,1133,48.51,53.45,-11.16,oblong,55.53,widget1
573,169,715,Japan,1021,51.31,55.94,30.21,oblong,27.58,widget4
534,194,434,Japan,591,70.29,41.52,108.42,oblong,26.6,widget2
537,150,439,Belgium,566,36.79,47.72,96.96,oblong,37.8,widget1
490,201,562,Italy,522,21.88,30.54,80.02,cuboid,19.79,widget8
576,187,476,India,819,21.19,27.84,60.05,oblong,37.01,widget4
450,182,562,China,335,67.26,54.12,54.19,cuboid,25.1,widget2
631,152,585,Italy,1640,64.2,38.29,-49.23,cylinder,58.75,widget3
417,231,400,India,911,70.05,48.65,122.38,cuboid,22.79,widget2
348,125,582,China,303,90.18,67.43,107.44,oblong,23.87,widget2
699,134,630,,912,40.84,57.88,99.76,spherical,34.41,widget4
482,164,498,Belgium,726,35.94,34.54,90.35,cylinder,8.8,widget8
622,182,323,Italy,955,26.24,84.31,-27.34,oblong,20.86,widget7
388,195,506,South Korea,767,76.44,40.92,95.13,cuboid,26.55,widget2
386,138,587,Belgium,674,62.15,55.35,-74.46,cylinder,30.21,widget5
440,124,582,Germany,789,63.33,54.85,108.27,cuboid,52.91,widget6
517,215,418,Japan,966,41.4,91.71,-34.27,spherical,23.52,widget7
495,102,605,Germany,655,80.72,51,88.09,cuboid,44.76,widget6
620,125,575,South Korea,1279,46.32,56.22,20.54,oblong,39.45,widget4
